Nom,Type d'arme,Technologie,Iconic,Lien
Erebus,Submachine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Erebus
Fenrir,Submachine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Fenrir
Guillotine x-MOD2,Submachine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Guillotine_x-MOD2
HA-7 Warden,Submachine Gun,Smart,,https://cyberpunk.fandom.com/wiki/HA-7_Warden
Kang Tao G-58 Dian,Submachine Gun,Smart,,https://cyberpunk.fandom.com/wiki/Kang_Tao_G-58_Dian
Militech M221 Saratoga,Submachine Gun,Power,,https://cyberpunk.fandom.com/wiki/Militech_M221_Saratoga
Pizdets,Submachine Gun,Smart,X,https://cyberpunk.fandom.com/wiki/Pizdets
Problem Solver,Submachine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Problem_Solver
Prototype: Shingen Mark V,Submachine Gun,Smart,X,https://cyberpunk.fandom.com/wiki/Prototype:_Shingen_Mark_V
Raiju,Submachine Gun,Tech,X,https://cyberpunk.fandom.com/wiki/Raiju
Yinglong,Submachine Gun,Smart,X,https://cyberpunk.fandom.com/wiki/Yinglong
Alabai,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Alabai
Amstaff,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Amstaff
Ba Xing Chong,Shotgun,Smart,X,https://cyberpunk.fandom.com/wiki/Ba_Xing_Chong
Bloody Maria,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Bloody_Maria
Carnage,Shotgun,Power,,https://cyberpunk.fandom.com/wiki/Budget_Arms_Carnage
Constitutional Arms M2038 Tactician,Shotgun,Power,,https://cyberpunk.fandom.com/wiki/Constitutional_Arms_M2038_Tactician
Dezerter,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Dezerter
Guts,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Guts
Kang Tao L-69 Zhuo,Shotgun,Smart,,https://cyberpunk.fandom.com/wiki/Kang_Tao_L-69_Zhuo
Militech Crusher (2077),Shotgun,Power,,https://cyberpunk.fandom.com/wiki/Militech_Crusher_(2077)
Mox,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Mox
Order,Shotgun,Tech,X,https://cyberpunk.fandom.com/wiki/Order
Pozhar x-MOD2,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Pozhar_x-MOD2
Rostović DB-2 Satara,Shotgun,Tech,,https://cyberpunk.fandom.com/wiki/Rostovi%C4%87_DB-2_Satara
Rostović DB-2 Testera,Shotgun,Power,,https://cyberpunk.fandom.com/wiki/Rostovi%C4%87_DB-2_Testera
Rostović DB-4 Igla,Shotgun,Power,,https://cyberpunk.fandom.com/wiki/Rostovi%C4%87_DB-4_Igla
Rostović DB-4 Palica,Shotgun,Smart,,https://cyberpunk.fandom.com/wiki/Rostovi%C4%87_DB-4_Palica
Sovereign,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/Sovereign
Techtronika VST-37 Pozhar,Shotgun,Power,,https://cyberpunk.fandom.com/wiki/Techtronika_VST-37_Pozhar
The Headsman,Shotgun,Power,X,https://cyberpunk.fandom.com/wiki/The_Headsman
Arasaka HJSH-18 Masamune,Assault Rifle,Power,,https://cyberpunk.fandom.com/wiki/Arasaka_HJSH-18_Masamune
Arasaka Nowaki,Assault Rifle,Power,,https://cyberpunk.fandom.com/wiki/Arasaka_Nowaki
Carmen,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Carmen
Chinook,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Chinook
Darra Polytechnic DA8 Umbra,Assault Rifle,Power,,https://cyberpunk.fandom.com/wiki/Darra_Polytechnic_DA8_Umbra
Divided We Stand,Assault Rifle,Smart,X,https://cyberpunk.fandom.com/wiki/Divided_We_Stand
Hawk,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Hawk
Kyubi x-MOD2,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Kyubi_x-MOD2
Militech Hercules 3AX,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Militech_Hercules_3AX
Militech M251s Ajax,Assault Rifle,Power,,https://cyberpunk.fandom.com/wiki/Militech_M251s_Ajax
Moron Labe,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Moron_Labe
D5 Copperhead,Assault Rifle,Power,,https://cyberpunk.fandom.com/wiki/Nokota_D5_Copperhead
Nokota D5 Sidewinder,Assault Rifle,Smart,,https://cyberpunk.fandom.com/wiki/Nokota_D5_Sidewinder
Pit Bull,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Pit_Bull
Prejudice,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Prejudice
Psalm 11:6,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Psalm_11:6
Tsunami Kyubi,Assault Rifle,Power,,https://cyberpunk.fandom.com/wiki/Tsunami_Kyubi
Umbra x-MOD2,Assault Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Umbra_x-MOD2
Defender,Light Machine Gun,Power,,https://cyberpunk.fandom.com/wiki/Constitutional_Arms_M2067_Defender
MA70 HB x-MOD2,Light Machine Gun,Power,X,https://cyberpunk.fandom.com/wiki/MA70_HB_x-MOD2
Midnight Arms MA70 HB,Light Machine Gun,Power,,https://cyberpunk.fandom.com/wiki/Midnight_Arms_MA70_HB
Wild Dog,Light Machine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Wild_Dog
Militech Mk. 31 HMG,Heavy Machine Gun,Power,,https://cyberpunk.fandom.com/wiki/Militech_Mk._31_HMG
Achilles x-MOD2,Precision Rifle,Tech,X,https://cyberpunk.fandom.com/wiki/Achilles_x-MOD2
Hypercritical,Precision Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Hypercritical
Midnight Arms SOR-22,Precision Rifle,Power,,https://cyberpunk.fandom.com/wiki/Midnight_Arms_SOR-22
Militech M-179 Achilles,Precision Rifle,Tech,,https://cyberpunk.fandom.com/wiki/Militech_M-179_Achilles
Kolac,Precision Rifle,Power,,https://cyberpunk.fandom.com/wiki/Rostovi%C4%87_Kolac
Widow Maker,Precision Rifle,Tech,X,https://cyberpunk.fandom.com/wiki/Widow_Maker
Borzaya,Sniper Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Borzaya
Breakthrough,Sniper Rifle,Tech,X,https://cyberpunk.fandom.com/wiki/Breakthrough
Foxhound,Sniper Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Foxhound
Nokota Osprey,Sniper Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Nokota_Osprey
O'Five,Sniper Rifle,Power,X,https://cyberpunk.fandom.com/wiki/O%27Five
Overwatch,Sniper Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Overwatch
Sparky,Sniper Rifle,Power,X,https://cyberpunk.fandom.com/wiki/Sparky
Techtronika SPT32 Grad,Sniper Rifle,Power,,https://cyberpunk.fandom.com/wiki/Techtronika_SPT32_Grad
Ashura,Sniper Rifle,Smart,,https://cyberpunk.fandom.com/wiki/Tsunami_Ashura
Tsunami Nekomata,Sniper Rifle,Tech,,https://cyberpunk.fandom.com/wiki/Tsunami_Nekomata
Tsunami Rasetsu,Sniper Rifle,Tech,X,https://cyberpunk.fandom.com/wiki/Tsunami_Rasetsu
Yasha,Sniper Rifle,Smart,X,https://cyberpunk.fandom.com/wiki/Yasha
Black Unicorn,Blade,,X,https://cyberpunk.fandom.com/wiki/Black_Unicorn
Cut-o-Matic,Blade,,,https://cyberpunk.fandom.com/wiki/Budget_Arms_Cut-o-Matic
Butcher's Cleaver,Blade,,X,https://cyberpunk.fandom.com/wiki/Butcher%27s_Cleaver
Byakko,Blade,,X,https://cyberpunk.fandom.com/wiki/Byakko
Cocktail Stick,Blade,,X,https://cyberpunk.fandom.com/wiki/Cocktail_Stick
Cut-o-Matic x-MOD2,Blade,,X,https://cyberpunk.fandom.com/wiki/Cut-o-Matic_x-MOD2
Errata,Blade,,X,https://cyberpunk.fandom.com/wiki/Errata
Gwynbleidd,Blade,,X,https://cyberpunk.fandom.com/wiki/Gwynbleidd
Jinchu-maru,Blade,,X,https://cyberpunk.fandom.com/wiki/Jinchu-maru
Katana,Blade,,,https://cyberpunk.fandom.com/wiki/Katana
Kukri,Blade,,,https://cyberpunk.fandom.com/wiki/Kukri
Machete,Blade,,,https://cyberpunk.fandom.com/wiki/Machete
Satori,Blade,,X,https://cyberpunk.fandom.com/wiki/Satori
Scalpel,Blade,,X,https://cyberpunk.fandom.com/wiki/Scalpel
Techtronika Razor,Blade,,,https://cyberpunk.fandom.com/wiki/Techtronika_Razor
Tsumetogi,Blade,,X,https://cyberpunk.fandom.com/wiki/Tsumetogi
Volkodav,Blade,,X,https://cyberpunk.fandom.com/wiki/Volkodav
Baby Boomer,Blunt,,X,https://cyberpunk.fandom.com/wiki/Baby_Boomer
Baseball Bat,Blunt,,,https://cyberpunk.fandom.com/wiki/Baseball_Bat
Baseball Bat x-MOD2,Blunt,,X,https://cyberpunk.fandom.com/wiki/Baseball_Bat_x-MOD2
BFC 9000,Blunt,,X,https://cyberpunk.fandom.com/wiki/BFC_9000
Caretaker's Spade,Blunt,,X,https://cyberpunk.fandom.com/wiki/Caretaker%27s_Spade
Cottonmouth,Blunt,,X,https://cyberpunk.fandom.com/wiki/Cottonmouth
Crowbar,Blunt,,,https://cyberpunk.fandom.com/wiki/Crowbar
Crowbar (iconic),Blunt,,X,https://cyberpunk.fandom.com/wiki/Crowbar_(iconic)
Electric Baton Alpha,Blunt,,,https://cyberpunk.fandom.com/wiki/Electric_Baton_Alpha
Electric Baton Beta,Blunt,,,https://cyberpunk.fandom.com/wiki/Electric_Baton_Beta
Electric Baton Gamma,Blunt,,,https://cyberpunk.fandom.com/wiki/Electric_Baton_Gamma
Gold-plated baseball bat,Blunt,,X,https://cyberpunk.fandom.com/wiki/Gold-plated_baseball_bat
Hammer,Blunt,,,https://cyberpunk.fandom.com/wiki/Hammer
Kanabo,Blunt,,,https://cyberpunk.fandom.com/wiki/Kanabo
Murphy's Law,Blunt,,X,https://cyberpunk.fandom.com/wiki/Murphy%27s_Law
Sasquatch's Hammer,Blunt,,X,https://cyberpunk.fandom.com/wiki/Sasquatch%27s_Hammer
Sir John Phallustiff,Blunt,,X,https://cyberpunk.fandom.com/wiki/Sir_John_Phallustiff
Steel Pipe,Blunt,,,https://cyberpunk.fandom.com/wiki/Steel_Pipe
Tinker Bell,Blunt,,X,https://cyberpunk.fandom.com/wiki/Tinker_Bell
Tire Iron,Blunt,,,https://cyberpunk.fandom.com/wiki/Tire_Iron
Agaou,Thrown,,X,https://cyberpunk.fandom.com/wiki/Agaou
Blue Fang,Thrown,,X,https://cyberpunk.fandom.com/wiki/Blue_Fang
Chef's Knife,Thrown,,,https://cyberpunk.fandom.com/wiki/Chef%27s_Knife
Claw,Thrown,,,https://cyberpunk.fandom.com/wiki/Claw
Claw x-MOD2,Thrown,,X,https://cyberpunk.fandom.com/wiki/Claw_x-MOD2
Fang,Thrown,,X,https://cyberpunk.fandom.com/wiki/Fang
Headhunter,Thrown,,X,https://cyberpunk.fandom.com/wiki/Headhunter
Kaiken,Thrown,,,https://cyberpunk.fandom.com/wiki/Kaiken
Knife,Thrown,,,https://cyberpunk.fandom.com/wiki/Knife
Nehan,Thrown,,X,https://cyberpunk.fandom.com/wiki/Nehan
Neurotoxin Knife,Thrown,,,https://cyberpunk.fandom.com/wiki/Neurotoxin_Knife
Punknife,Thrown,,,https://cyberpunk.fandom.com/wiki/Punknife
Stinger,Thrown,,X,https://cyberpunk.fandom.com/wiki/Stinger
Tomahawk,Thrown,,,https://cyberpunk.fandom.com/wiki/Tomahawk
CHAR Incendiary Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/CHAR_Incendiary_Grenade
EMP Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/EMP_Grenade
F-GX Frag Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/F-GX_Frag_Grenade
GASH Antipersonnel Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/GASH_Antipersonnel_Grenade
MOLODETS BioHaz Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/MOLODETS_BioHaz_Grenade
Recon Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/Recon_Grenade
Smoke Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/Smoke_Grenade
X-22 Flashbang Grenade,Grenade,,,https://cyberpunk.fandom.com/wiki/X-22_Flashbang_Grenade
